feature,missing_count,missing_percentage,selected_for_model
SavingsLossPct,0,0.0,True
ExpenditureVariancePct,0,0.0,True
PMPM,0,0.0,True
FinancialGap,0,0.0,True
GenSaveLossYoYPct,920,53.70694687682428,True
quality_score,0,0.0,True
quality_change_yoy_pct,0,0.0,True
quality_gap_to_100,0,0.0,True
attention_area_count,0,0.0,True
utilization_score,0,0.0,True
ed_visits_per_beneficiary,0,0.0,True
admissions_per_beneficiary,0,0.0,True
em_visit_intensity,0,0.0,True
ed_utilization_change_yoy,0,0.0,True
admission_change_yoy,0,0.0,True
em_utilization_change_yoy,0,0.0,True
advanced_imaging_change_yoy,0,0.0,True
